Name,HighestDegree,Division,DivisionAddress,PersonalAddress,Email,PhoneNumber,Department,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
DAnIEL MooRe^,BS,,"101 wEsT Dr, sACRamenTO, cA 94203","uNIT 3646 BOX 2512
dPO ae 21382%",dAnIeL_mOorE@KlB.COm,378-776-5741x7815,Operations,,"peRFORms prOducTIOn aND oPeratioNal TASKs WIthiN thE wesT dIvISioN, ENsURInG quALiTY anD EFFiCIency In procEsSEs.",29881.16,1999-12-14,353-58-71462
joEL MoRrIs,,South Division,"456 soUth AVe, aUStin, tx 73301!","17195 McPhERSON unIOnS
dOUGlascHesTER, wY 15292",joEl_MOrRis@KLb.CoM,418-797-3476x2422,Operations,LeaD opEraTions maNAGer!,"oVeRSeES aLL OPEraTiONS WITHin tHE SOuTH DIViSiOn, EnsUres kEY PErFOrmAncE mETriCs ARe met, AND dRIves pRocESs INNoVAtION.^",267618.92,2-2-1971,584 20 60857$
TamMY CaNtU%,HS,North Division,"123 nOrTh sT, sPRINgField, IL 62701&",,taMMY_cANTu@klB.CoM,(941)729-6359,Operations,opeRAtiONs aSsOcIATe LEVEl 7#,,36167.76,1979.11.08,
TiffAnY wEBeR$,CTE,East Division,"789 EaST bLvD, AlbANy, NY 12201","802 wIlLiaM ISle
wESt KeNNetH, pR 56028",TiFFanY_WEbEr@klb..cOm,647.399.1727x80272,Operations,OPerAtIONs asSOciatE LEVEl 1#,,33604.53,08/16/2004,876-89-74682
CynTHIA MccaLL&,PhD,West Division,"101 weSt Dr, SACrAmento, cA 94203&","63520 michaEl forDS
wesT KaThLEEnFUrt, ME 71609",CYNthIA_mCcalL#klb..Com,+1-840-730-5731x780,Engineering,,"wORks On tEchNICaL proJecTs, eNsuRes cOMpLiANcE WITh saFeTy STAnDArDs, AND PRoVides EnGineeRiNG SolUTiONs as ENgINEeR LevEl 4.",118145.07,1997-16-09,022/37/02943
sHawn WhiteheAD,,South Division,"456 sOuTH AvE, auSTin, TX 73301","3234 marIE CEnTErS
nORTh taMmyViEW, nm 55537",sHaWN_wHItEHeAd@KlB.cOm,001-269-745-9268x08730,Operations,OpeRAtioNs AssOcIaTE lEVel 5^,"PErFORMS pROdUCTion anD operaTioNAL tASKs WitHIN the soUth DivISION, eNsUring quAlIty ANd EfFICIEnCy IN pROCEsSeS.",,1980.06.02,
eMiLY esTrAdA!,MS,South Division,,,eMILY_eSTRADa@klb.cOM,382-936-4251x98971,,hR MANaGer leVEL 2,"pRoViDeS StraTEGiC WorkfORcE PLaNninG, mANaGeS EMPlOYeE pErFoRmaNcE, ANd oveRsees Hr polICiES AS HR maNAGEr LeveL 2.@",112311.99,,367-83-471
JEREmY coLLinS,CTE,,"789 eAST BLVD, alBaNY, ny 12201","84278 siMS STReaM suITe 755
HAmILtONsIdE, PW 13980",JERemY_colLiNs#kLB.CoM,761-970-4854x3511,Operations,OPErAtIOns ASSoCiaTE Level 4!,"PerFORMs PRODUCtIon ANd OpERatIOnal TAsKS WitHin thE EasT DIvISiOn, enSURiNG QuaLIty anD EffICIENcY In PROcESsEs.@",38346.36,1976-07-10,762 54 214
CHEryl diAz$,HS,North Division,"123 noRth sT, SprinGFieLd, IL 62701","059 AmaNDA FORKS sUITE 653
RaYToN, az 42549",cHERYl_DiaZ@Klb.COM,783.241.0807x509,Operations,oPEratIONS asSOcIatE lEVeL 6&,"PERFormS PROduCtioN aNd OpeRatIONaL TAsks wItHIn tHE nortH dIvISiOn, eNsUrinG qUaLIty and efFICieNcy in PrOcEsses.$",32879.36,1983-21-4,
sUsaN pEtErs,CTE,North Division,"123 NOrTh sT, SpRinGField, IL 62701$","45540 hErNanDeZ bROOKs
NoRTH KeviNsHiRe, rI 52858@",suSAN_PEteRs@klb.com,217-778-5453,Operations,opERAtIons AsSOcIAte LEvEl 3@,"PErfOrMs pRODuCTiON and OPERaTioNAl TaSKs WitHiN ThE norTH divisiOn, enSURiNg quALItY ANd EffIcIEncY iN PRoCeSSES.",28092.87,1998/11/08,721 80 895
mr. mike mILLEr@,HS,South Division,"456 soUth aVe, aUstin, tX 73301#","UScgc wiLlIs
Fpo Ae 51854",Mr._MikE_MILlER@kLb.COM,,Operations,operATioNs assoCiATE LEveL 1,,29494.03,1971.04.07,837-72-82519
eBoNY MOore,CTE,North Division,,"245 GAbrieL sTRaveNuE aPt. 108
neW miCHAelView, VA 70801@",EBOnY_mooRE#kLb.com,001-205-614-3882x7374,Operations,opEraTioNS assOcIATe levEl 5*,"PerFoRms pRoduCTiON AnD OPERational TASKs WITHIn thE NoRtH DivisIoN, ENsUriNg QuAliTY AnD effIcienCY iN prOCEsSES.",34930.82,12/1987/17,
RAndall haMPTon,HS,North Division,"123 norTH St, sPrInGField, IL 62701%",,randaLL_HampToN@Klb.cOM,728.967.5668x0734,Operations,OPERatIONS asSOciate lEVel 9@,"PerfORms ProDucTION AND opeRatiOnAl taSkS WITHIn thE norTH DIViSION, ENsURinG QUALiTy And eFFiCIEnCY IN PROCesSEs.",39532.26,1977-5-13,024 60 17132
rUTh raMIREZ,,North Division,"123 north ST, SPrinGfiELD, Il 62701",,,001-266-467-6296,,oPeRatIoNS ASSocIate leVeL 3,"peRforms prODUcTION aND OpERATiONal tasks wiTHIn THE north dIvISIOn, EnsurINg QUAliTy AnD EFFiCIEncy In PrOCesSeS.",35259.88,12/06/1998,667/40/99945
destIny caMEroN&,CTE,South Division,"456 SOuTh ave, aUStIn, TX 73301","48219 gEnE LAnE
pORT Susan, LA 08853#",dEStINY_CAmeROn@KLb.com,750.816.6415x09957,Operations,oPerATIOns AssOcIAte LEVel 1#,"PeRFOrms prodUctIOn anD opERatIOnAl taskS wItHin tHE sOUtH DIViSION, enSuRInG qUalITy anD EFFiCiEncY iN PrOCeSsEs.",33967.7,2004.10.2,847/12/121
hEIdI matThews!,MA,North Division,"123 NoRtH St, SpRIngFIeLd, IL 62701$","uNIT 6220 Box 2341
DPO Ae 22378",Heidi_maTThewS@kLB.COm,(411)317-8006x8114,,SECRetAry lEvEl 4,"pRoviDes aDMiNIStRATIvE suPporT witHIn the NOrth DivISion, ASSistiNG WiTh sCHeDUlING, documENTatioN, ANd CoMmuNiCAtiON tASKs.%",40462.15,,
cathErINe weBB!,HS,Central Division,"202 MaIN ST, cOLUMBuS, oH 43085*",,CATHERIne_weBb#klb..coM,,Operations,OpeRatiONs aSsOCiatE LeVeL 1%,"PErforMS PROduCtiOn AnD opeRatIoNaL tASKs wiThiN THe CEnTRaL diVisIon, ENsuRinG qUaliTy anD EFFIciENCy IN PrOcesSeS.",29172.85,1987.6.7,496/64/02688^
BeVerly GArcIA,AB,West Division,"101 wesT DR, SACraMEnTO, CA 94203",,bEverlY_GARcia@kLb.Com,745-330-7074x49932,Operations,oPERatiONS ASSOciaTE Level 4,"pERfOrms PrODUCtioN AND opErATIonAl TASkS WitHIn the WESt DiViSION, Ensuring qUaliTy And EffIciENcY IN PROcesSES.",36291.04,8.1998.6,108 55 4225
ZaChAry wiLSON md,GED,East Division,"789 east Blvd, ALbany, nY 12201!","uNIT 9658 bOX 8721
dpO aE 04397&",ZAcHarY_wIlsON_MD!klb..com,(273)579-0905x961,Operations,OPeRATiONs ASSocIate lEVEl 4,"pErformS proDUctIOn AnD OperATional TAsks WitHin THe EaSt DIvISIon, enSurinG quaLITY aND eFFICIeNcy in PrOcEssES.",35586.71,1999.2.16,013-90-414
siErrA laMbeRT!,BS,Central Division,"202 MAiN St, coLUMBus, OH 43085&","411 CrUz statIon
norTh REBecCa, OH 54624",sIERra_LAMbERT%klB.COM,(917)703-7125x68497,Operations,opERATioNS AssocIatE lEvEl 1&,"PerFOrMS prODUctioN and OPERaTIOnAL taSks wIthIN The ceNTral dIViSioN, ENSURiNg quality and EFFICiencY In proCEsSes.%",28836.04,2003-12-31,352 57 3121
AlIson MEJIA@,AB,North Division,"123 NORtH st, SpRINGFielD, IL 62701*","7765 lEwis KNolL ApT. 891
rODnEYLAND, Ga 86508*",ALIsoN_meJiA@kLb.cOm,001-945-334-7491x16084,Operations,operATiONs aSSocIaTe LeVEl 4,"pERfoRMs prOduCtiON And OpEratIoNAl Tasks wiTHIN ThE NorTH divISiON, eNsURiNG quAlity anD effIcIencY IN PROceSseS.!",30214.53,,149-21-349
Amy MeyERs#,BA,Central Division,"202 maiN ST, COluMbuS, oH 43085",,AMy_meYerS@KLb..com,+1-538-346-9908x6723,Administrative,,"proViDes AdminiSTRAtIvE suPpORt WITHin THe ceNtrAL dIViSiOn, asSisTiNg WitH schEDuLING, dOCUMeNTaTIon, and comMuniCAtiON tasks.",38148.51,28.1968.1,271 86 430^
dUstIN bArrErA!,AB,West Division,"101 WEst dr, SACramEnTo, cA 94203","57346 camPBell IslaNdS apt. 291
wEst DanIEl, DC 32582",dusTIn_BArrEra@Klb.Com,7125127066,Operations,OpeRaTIonS ASSOCIATe lEvel 8,"PeRforMS PrODuctIoN and oPEraTIoNAl taskS WiThin the WeST dIVISiOn, ENSURIng QualitY aNd EfFIcIEncY In pRoceSSeS.#",,1979/05/30,601-12-350$
niCHOLaS hiNtoN%,,South Division,"456 SoUTH Ave, auSTIN, tx 73301",,nichOlAS_HInTON#kLB..com,452.570.1713x02321,Administrative,SecrEtARY lEVEL 1,"PrOvidES aDMIniSTraTIVE suPpOrT WItHIn thE SOUTH diVIsion, ASSiSTINg WiTh sCHEdulING, DoCUMENTation, AND CoMMUniCatiOn TaSKS.",38675.78,1979/12/24,520/11/69843
JEreMY sIlva,MA,South Division,"456 SouTh Ave, austIN, TX 73301","958 guZmAN wEll
porT kaThEriNe, ia 68217",jEREMY_SIlVA@klB.coM,001-405-647-6824x69661,,,"enSURES smoOTh DAILY OPeraTIONs, mANAgEs rEsOuRce aLlOcAtioN, ANd ResOlVes wORkFloW cHALlEnGES AS OPeRATioNs LEAd LEvEL 1.",100144.0,3.1.1969,412/66/345
nATALie gReenE&,AB,South Division,"456 souTH avE, AUstiN, tX 73301",,naTAlie_GREeNE%Klb.coM,(602)707-7537x35331,HR,hR spECIaList 2^,"mAnAGeS rECrUItmEnT AnD oNBoArDiNg, suPPoRtS emPLoYEE rElAtIONs, ANd MAiNTAINs COMPlIAnce WITh LaBoR LawS as SpEcialiSt 2.@",32008.43,23/1984/9,831 43 22742^
LauREN coOlEy,BA,North Division,"123 noRTH st, spRINgfielD, il 62701&","387 ROmERo VIsTA aPT. 824
soUth dAVIDViEW, vA 73774^",LAuREN_Cooley%Klb.com,001-925-313-5346x55494,Administrative,secreTarY leVEl 3,"pROviDES adMiNIstrAtiVe SUPPort WitHIN tHe nOrtH DiviSioN, AssIStING wItH sChedUlING, DocUMeNtATIOn, aND cOmMuniCation TaSKs.#",40235.79,1995/12/2,055/82/95629
DonnA WaLLAcE@,BS,East Division,"789 EaST BLvD, AlBANY, Ny 12201&","342 shaFfer CaMp apT. 529
MckNIghtmouth, nd 09145",dONnA_WAlLace@KLb.coM,001-333-927-3100,,opeRAtIoNS AssoCiatE lEVEL 5^,"PerFormS PRODuCTIoN AND OpErATiOnal TaSkS WiThin ThE EAst diVISIoN, ENSURinG QuaLItY aND EFFIcieNCy in pROCEssEs.",32123.96,1986-31-01,879/08/17477
emiLY ball,BS,Central Division,"202 maIN sT, COLuMbuS, Oh 43085","usNs Hill
fpo Ae 83455&",EmiLy_ball@KLb.COM,+1-811-839-1181,Operations,opErAtionS ASsociaTe LEveL 7@,"PeRfoRms prODUCTIOn AND OpERationaL taSks WiThiN the central DIVISioN, EnSuRINg QUaLITY aNd EffiCiEnCY In pRocESsES.*",39926.2,13-1996-04,
lisa OrTiz*,HS,North Division,"123 NOrth st, sprINgfield, Il 62701$","78464 KAThryN isLE SuITE 746
TayloRfORt, ny 87297*",,465-425-5424x58667,Operations,OperATIons AsSOCIAte LeVEl 1,"PerForms pRODUctIOn ANd oPeRaTionAl Tasks WiThiN THe NORTH DIvISIon, EnsurING QuAlITy And EFficienCy iN PROcESseS.#",26935.01,,475 21 22175
MIcHELlE roaCH,CTE,West Division,"101 WeST Dr, SACrAmEntO, CA 94203","58145 phILLIPS liGHTS
West pATRIcktOn, vA 92999#",,,,opErATioNs ASsOciATe leVeL 4,"PeRfoRms PrODuCtION AND operATIOnAL Tasks WithIN the wEST diViSIon, enSUrINg qUaLity anD EFfICIeNcy in proCesSeS.$",,1991/8/23,359/41/2699
StEpHAnIE daWsoN,BA,,"202 main ST, coLUMbUs, OH 43085","812 HARdy streAm ApT. 742
DaniELhaVEn, In 17897",sTEpHANie_DaWson@KLb.COM,(940)823-9362,,SecRetarY leveL 6,"pRoViDeS aDminISTRativE suPPorT WItHiN tHe ceNTRAL DivisION, aSsIstinG witH scHEdUlIng, DoCuMeNtation, And coMmuNICATIOn taSKs.",47604.88,1970.11.12,473/53/443
brooke BRyANt,AB,North Division,"123 noRtH st, sPrIngfieLD, iL 62701","unIt 6324 Box 2415
DPO AA 11304",BrooKe_bryAnt!KLB.cOM,(320)464-3611x037,Administrative,SeCrETarY LEVeL 2,"PROVIDeS aDminISTRaTIVE sUPporT WiThIN The NoRtH diViSION, AssIsTINg wITH scHEdUlInG, DOCUmeNtATiON, ANd comMuniCaTiON taSKS.*",,1979.17.4,532-88-7292
AllisON sOsA,,East Division,"789 EaSt bLvd, AlBaNY, nY 12201","8303 MonicA ISLE APt. 326
wEst RaYmOND, gU 40284!",,336.671.0195,,opeRaTIONS ASSociatE leVEL 3,"pERFOrMS pROduCTIOn And oPERATiONal tASks wITHIN THE eaST dIVISion, ENSURinG quaLiTY aNd EfFIcIeNCy IN PRoCESSes.*",31482.1,1974/1/4,560-36-85584
eLIJAh AndeRsOn,HS,South Division,"456 soUTH ave, AuSTIn, TX 73301^",,ElIJAH_anDErSON@klb..COM,519-982-8704x85959,Operations,,"PeRFORmS PRODucTIOn anD OPEraTIoNAL tasks WIthIN the sOuTh diVIsIoN, EnsURING QuALItY and eFFIcIenCY In PROCESSeS.#",33482.12,2001/02/05,155-49-17219^
dianA HanSeN,HS,South Division,"456 SOUTh aVE, AuStIn, tx 73301","1043 boWers row
PAtelStAd, mt 73468@",DIanA_HANSEN@kLB.cOm,(500)942-7499x8613,Operations,OPErations asSoCIAtE LevEl 8$,,36692.23,1970.09.27,527/72/05077
MARk dIaz,MA,West Division,"101 wESt dR, sAcraMENtO, Ca 94203@",,,(892)909-3282,Operations,oPERAtions lEAd LEVeL 5,,,1988-02-28,505/71/0635
liNDsEY GOMeZ!,AB,West Division,,"10054 NElson ESTATE SuIte 502
AlicEFORt, Mh 46568@",LindsEY_GOMez!klB.cOM,856-725-0242x092,Operations,oPeRAtIons aSsoCiAte LEvEL 5,"PeRfoRMS prOdUCTiON and oPErAtIOnAL tAsks wiThiN thE west diVISiOn, ENsURINg quaLITY AND EfFIcieNCY iN prOCessEs.",,1983-8-1,070/73/572%
GAIL rEYes!,BS,North Division,"123 noRTH St, spRiNgFIeLD, iL 62701$",,gaiL_reYeS!KLB.CoM,860-774-9687x5744,Operations,OperaTIons aSsOcIATE LevEL 3,"pERfOrms PrOductIoN And oPERAtIONaL tAsks WIthIN ThE nOrTH diVisiOn, ensurINg qUALITy ANd efFiciEnCy in PROcESses.*",28084.75,1989-8-17,726 33 8829
RAcheL MCFARLaND,HS,South Division,"456 SouTh Ave, AUStIN, tx 73301",,raChel_MCFArlaND@KlB.Com,720.844.1384,Administrative,SEcRETaRy Level 3,"PROVIdes adMINiStRATIVe SUPpORT wIThIN tHE sOUTh dIvISioN, assiSTINg WiTH schEduLing, DOCuMENtation, aND coMMuNicaTION TasKS.",40335.23,,631-36-592
ELIZaBETh baLDwin,MA,West Division,"101 wesT Dr, sacrAMeNto, Ca 94203*","04385 RiCE gROVE
SoUth DAniELLeLAnD, mH 70506",ELIzAbeTH_BALDwIN@KlB.cOm,3013422537,Operations,,"LeadS TeAms tO IMPRove PErfORMaNCe, mAnAGeS OpeRAtiOnal COSTs, AND ImPLements prOCESs oPtiMIZATIoNs AS OPeRationS manAGer LEvel 1.",102423.7,1988/11/26,045 61 17037
spenCer tAYLoR,BS,East Division,"789 EaST BLvD, AlbAny, ny 12201^","6641 cLArK dAm apt. 097
noRtH shArONvIew, mi 34586",SpEncer_TayLoR@klb.com,,Operations,OPErATIONs aSSocIATe LeveL 1!,"PeRForMs proDucTIOn anD opERaTIonAl TaSKS WIthIn tHE EaST divIsIon, eNsUrINg QUALiTY And efficIency IN prOCESSEs.",35462.52,1996.05.26,817/25/94158*
aUSTin HoWell phD*,,West Division,"101 WEST DR, SaCRAMeNTO, ca 94203&","646 elIZAbEtH GleNs
LAKe danIELmouTH, UT 79289$",ausTIN_howeLl_pHD!KlB..COm,(603)457-2713,HR,HR SpeCiAlISt 2,"MANageS RecruitmenT anD OnboARding, sUPPORTS EMPLOYEE ReLATiOnS, ANd MaiNTaiNs cOmpLiANce wITh LabOr LAws aS SPEciaLisT 2.",38729.86,1990/7/12,635-46-4768
GEorge CastRo,HS,North Division,"123 North St, sPRinGField, Il 62701","85875 calViN pOrt
eAsT paTrICk, ME 36773!",gEORgE_CasTro@KlB..com,+1-764-531-0291x20976,Operations,OPERATIoNs AssocIaTE LeVeL 9*,"PerFORMs proDUCtION AnD opeRAtiONAl taSkS wIthiN ThE NORtH DivIsIoN, ensURiNG QUaLITY AND EFFiCieNcy iN ProcesSes.",,4-29-1993,505/15/77046
